,date,Open,Close,High,Low,volume,code
210,2017/11/14,677.52,669.248,677.599,667.867,46366,600519
211,2017/11/15,669.248,678.447,680.33,664.564,45036,600519
212,2017/11/16,676.406,709.043,709.881,676.406,60716,600519
213,2017/11/17,686.256,680.587,699.074,668.281,123861,600519
214,2017/11/20,667.325,669.642,676.002,650.76,88305,600519
215,2017/11/21,659.634,667.769,679.157,652.752,96016,600519
216,2017/11/22,667.522,641.413,678.368,640.9,128498,600519
217,2017/11/23,633.012,624.858,636.956,621.397,109599,600519
218,2017/11/24,626.997,621.219,633.505,613.519,76541,600519
219,2017/11/27,625.124,612.592,627.421,604.428,63548,600519
220,2017/11/28,616.309,639.155,639.796,615.264,70291,600519
221,2017/11/29,640.841,629.186,642.842,625.134,46763,600519
222,2017/11/30,626.613,622.166,639.401,617.236,38019,600519
223,2017/12/1,629.078,613.637,630.044,611.448,47192,600519
224,2017/12/4,615.215,628.861,635.083,608.086,54267,600519
225,2017/12/5,625.124,624.099,638.336,621.308,47465,600519
226,2017/12/6,622.659,616.26,635.083,611.32,58174,600519
227,2017/12/7,616.201,608.056,616.24,606.646,51032,600519
228,2017/12/8,606.804,618.498,620.046,606.804,45503,600519
229,2017/12/11,622.166,641.876,642.823,622.166,72849,600519
230,2017/12/12,649.478,642.202,649.547,641.906,47889,600519
231,2017/12/13,645.82,658.855,660.62,641.61,48502,600519
232,2017/12/14,660.6,655.246,661.902,651.253,31967,600519
233,2017/12/15,654.704,644.637,658.599,641.669,32255,600519
234,2017/12/18,650.76,656.449,660.423,649.36,39162,600519
235,2017/12/19,653.718,657.751,663.026,651.746,44072,600519
236,2017/12/20,660.521,675.321,677.244,654.734,63601,600519
237,2017/12/21,673.438,672.196,677.796,666.043,46680,600519
238,2017/12/22,670.48,673.359,676.297,667.532,28317,600519
239,2017/12/25,676.396,678.486,686.552,674.148,36214,600519
240,2017/12/26,678.546,671.279,683.288,667.029,31867,600519
241,2017/12/27,675.272,654.882,675.272,653.225,37722,600519
242,2017/12/28,677.382,708.628,709.821,661.922,124141,600519
243,2017/12/29,707.948,687.725,716.329,681.918,76038,600519
